timestamp,distance,peak_value,peak_threshold,average_value,source_file
20250529_191228,90,0.0164570684305608,0.0164570684305608,0.0012097744211908,./coridorangle/90/90_last_data_point.csv
20250529_191422,70,0.014297493024049,0.014297493024049,0.001030565725813,./coridorangle/70/70_last_data_point.csv
20250529_191442,60,0.0096176166700206,0.0096176166700206,0.0006946262465629,./coridorangle/60/60_last_data_point.csv
20250529_191457,50,0.0075487243996201,0.0075487243996201,0.0006842970223416,./coridorangle/50/50_last_data_point.csv
20250529_191528,40,0.003275654296882,0.003275654296882,0.000481425353756,./coridorangle/40/40_last_data_point.csv
20250529_191514,45,0.0024790918809653,0.0024790918809653,0.000379842444538,./coridorangle/45/45_last_data_point.csv
20250529_191557,30,0.0025993439824752,0.0025993439824752,0.0005420979311241,./coridorangle/30/30_last_data_point.csv
20250529_191619,20,0.0011000253265863,0.0011000253265863,0.0004186444167746,./coridorangle/20/20_last_data_point.csv
20250529_191635,10,0.0022203342358368,0.0022203342358368,0.0004963753484439,./coridorangle/10/10_last_data_point.csv
20250529_191651,0,0.0010787475691384,0.0010787475691384,0.0003882538129164,./coridorangle/0/0_last_data_point.csv
